ASIS{DrlMcz7fqm7YnVCfRQiclr0u6pFUVJ-r@erhsnrp}, d = 31, i = 10
ASIS{lr!pIQabxx7wNDhNckO27WbCPhIOt!OrzPdjsAWl}, d = 31, i = 10
ASIS{0o5xyt3MzC@pD5C4gGgQY10NQLuJt5Y|_Kr{161T}, d = 31, i = 11
ASIS{GdMWot3_5mGZ_LTWw52T7RgLJSYottD7HvrhuBn_}, d = 31, i = 11
ASIS{O{K94A6jn37RBr1eaS347WLa@k4SdGBjvB@3y4vd}, d = 31, i = 11
ASIS{YBnvB63_2ZcuLnmMRSXRQ1Fl_EB89_1r{X{b0f1q}, d = 31, i = 11
ASIS{16OiZtWqqZCATczLDSxlB1Pi_YHSx_TXaPN3ygnL}, d = 31, i = 12
ASIS{3g!YGE3_5MdBiXdej83-78jB0ESibVrBa9u3SnL9}, d = 31, i = 12
ASIS{G?!v8K8koQ79eaT6RI@6?zLgnpzHt_C6H9LE1E9a}, d = 31, i = 12
ASIS{MI@l4V0_I}lOiLOESSM}7h0RbqTKI-bp_Jg3b94T}, d = 31, i = 12
ASIS{dHima@!_QtahBNnEal3lr13NGKEktK7rjdA36VrT}, d = 31, i = 12
ASIS{ia9X3yA0qEetiQKRa23tX1OothdLt_OARN23FHnX}, d = 31, i = 12
ASIS{}rk_?@T0VZY_{Rp6R5q|IO0s_FqXq5O1v@r!sXmT}, d = 31, i = 12
ASIS{_-YnFjJP-J7_dPreGP3Oyeh0_-4SB_{pDPnSJDED}, d = 31, i = 13
ASIS{qrEc4pN_Ev|6|w}ofChc7D0cCpzgt3rM9PL6LQEU}, d = 31, i = 13                                                                                                                                                  
ASIS{8za23KK!5!74!Yew?43cfzi3Lv4StB9J}KrQnEwd}, d = 31, i = 14
ASIS{OHcZMKuuB77NiSTeDY{ow2tGAFXpc3OrroL3-En8}, d = 31, i = 14
ASIS{PrOi7yvcS?y_i?Jh9GLcpgZtMk4yfNOrrT4jMk7T}, d = 31, i = 14
ASIS{X9av4bjCwN7_1T7RZcWw8B07tK4nWJOR2I_hzEnj}, d = 31, i = 14
ASIS{_IYq4-i_u5yfhcTe2SGzAlM1fp4cMDl!sJr3-QFC}, d = 31, i = 14
